Dec_r1_max,Dec_r1_min ,Dec_r2_max ,Dec_r2_min  ,deci_avg,T1,T2 ,traffic_avg,P1,P2,ped_average,longitude,latitude
,,,,0,,,0,,,0,-75.6948711,45.4284309
,,,,0,,,0,,,0,-75.6935884,45.4288994
,,,,0,,,0,6,8,7,-75.693812,45.428596
79.4,59.4,81.4,53,68.3,,,0,,,0,-75.6949924,45.4275351
,,,,0,,,0,,,0,-75.69358005,45.42863882
,,,,0,,,0,,,0,-75.70777173,45.37671213
70.5,55.5,69.8,52.5,62.075,,,0,,,0,-75.694583,45.427704
67.5,49,68.4,50.9,58.95,,,0,,,0,-75.6950455,45.42824933
,,,,0,,,0,,,0,-75.70777173,45.37671213
,,,,0,8,,4,,,0,-75.694681,45.4276486
,,,,0,,,0,,,0,-75.69299896,45.42909527
,,,,0,,,0,,,0,-75.69304102,45.42908331
,,,,0,,,0,,,0,-75.69431242,45.42848439
,,,,0,,,0,6,5,5.5,-75.6916049,45.43092091
,,,,0,,,0,,,0,-75.6934648,45.42855478
,,,,0,,,0,,,0,-75.69264239,45.42814476
,,,,0,3,2,2.5,,,0,-75.69219358,45.42704299
,,,,0,,,0,,,0,-75.69142176,45.42739276
,,,,0,,,0,,,0,-75.69183187,45.42957647
,,,,0,,,0,,,0,-75.69345307,45.42844053
,,,,0,,,0,33,32,27,-75.6910922,45.42874043
,,,,0,9,6,7.5,,,0,-75.69034644,45.42775406
,,,,0,,,0,,,0,-75.69114341,45.4279137
,,,,0,,,0,,,0,-75.6940321,45.4284423
,,,,0,,,0,,,0,-75.69527623,45.42890194
,,,,0,13,11,12,,,0,-75.6921859,45.4269618
75,53.6,73.2,51.6,63.35,,,0,,,0,-75.69214611,45.4294945
,,,,0,,,0,,,0,-75.69365306,45.42868656
,,,,0,,,0,,,0,-75.691768,45.42963067
,,,,0,,,0,,,0,-75.6899699,45.4274655
,,,,0,,,0,9,11,10,-75.69327,45.429203
71.9,51.3,67.3,49.8,60.075,,,0,,,0,-75.69405245,45.42785807
,,,,0,,,0,,,0,-75.69237468,45.42937749
,,,,0,,,0,,,0,-75.6926905,45.42810224
,,,,0,,,0,38,16,27,-75.6925369,45.4285189
,,,,0,,,0,,,0,-75.6939506,45.4284405
63,50.8,59.9,49.5,55.8,,,0,,,0,-75.69409885,45.42751088
,,,,0,,,0,,,0,-75.69327322,45.42816729
,,,,0,,,0,,,0,-75.69334034,45.42812933
,,,,0,,,0,,,0,-75.692737,45.4282513
,,,,0,,,0,,,0,-75.692165,45.429576
,,,,0,,,0,,,0,-75.69201876,45.4272214
,,,,0,,,0,,,0,-75.70777173,45.37671213
64.2,53.6,61.8,53.7,58.325,,,0,,,0,-75.69436684,45.42842709
,,,,0,,,0,,,0,-75.69301161,45.42806702
,,,,0,,,0,,,0,-75.69431975,45.42843863
,,,,0,,,0,,,0,-75.69336042,45.42815716
,,,,0,,,0,12,2,7,-75.692936,45.429352
,,,,0,,,0,,,0,-75.69301361,45.42909797
75.6,53,73.3,54.6,64.125,,,0,,,0,-75.69305243,45.4290916
,,,,0,,,0,,,0,-75.6935867,45.42868225
,,,,0,,,0,,,0,-75.6944276,45.428548
,,,,0,,,0,,,0,-75.692582,45.427138
,,,,0,,,0,,,0,-75.69361211,45.42885188
72.6,50.6,60.8,50.1,58.525,,,0,,,0,-75.693878,45.428038
,,,,0,8,4,6,,,0,-75.6910181,45.42884579
,,,,0,,,0,4,5,4.5,-75.692411,45.429208
,,,,0,,,0,,,0,-75.69226823,45.42767069
,,,,0,,,0,,,0,-75.68906959,45.42644353
,,,,0,9,2,5.5,,,0,-75.69180949,45.42967178
,,,,0,9,25,17,,,0,-75.69220855,45.4283234
,,,,0,,,0,,,0,-75.69297033,45.42907781
60.9,50.2,70.4,49.9,57.85,,,0,,,0,-75.69274151,45.4287771
65.9,55.8,67.3,56.6,61.4,,,0,,,0,-75.6938421,45.42878665
73,50.6,68.6,52,61.05,,,0,,,0,-75.6939274,45.4279965
,,,,0,,,0,,,0,-75.69275741,45.42771661
,,,,0,,,0,,,0,-75.69262989,45.42759041
,,,,0,,,0,,,0,-75.69487193,45.42433485
69.1,53.1,80.5,53.5,64.05,,,0,,,0,-75.6933885,45.4281619
,,,,0,13,11,12,,,0,-75.69049377,45.42791822
71.9,57.6,69.3,57,63.95,,,0,,,0,-75.69405959,45.42864118
67.8,56.1,65.6,53.6,60.775,,,0,,,0,-75.6930399,45.4279341
,,,,0,,,0,,,0,-75.69200162,45.4272006
,,,,0,,,0,,,0,-75.69216362,45.42778123
,,,,0,,,0,,,0,-75.69162101,45.42708497
,,,,0,5,4,4.5,,,0,-75.69079589,45.42772702
,,,,0,,,0,,,0,-75.69170731,45.42741692
69.4,49.3,66.3,50.9,58.975,,,0,,,0,-75.6924659,45.427294
,,,,0,9,8,8.5,,,0,-75.69127052,45.42658124
70,49.9,88.5,48.5,64.225,,,0,,,0,-75.68087067,45.39901306
,,,,0,,,0,,,0,-75.68181058,45.40073499
73.6,58.4,71.4,50.2,63.4,,,0,,,0,-75.687939,45.416862
,,,,0,,,0,,,0,-75.68868365,45.41519014
72.5,50.7,,,0,,,0,,,0,-75.687939,45.416862
70.2,54.3,66.2,56.5,61.8,,,0,,,0,-75.691521,45.42851877
,,,,0,,,0,,,0,-75.68877886,45.41591398
66.2,56.5,66.2,53.4,60.575,,,0,,,0,-75.692049,45.42737
